frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0.000000e+00;0.000000e+00;1.738299e-01
1;0.020000;0.000000e+00;0.000000e+00;2.358766e-01
2;0.030000;0.000000e+00;0.000000e+00;2.626189e-01
3;0.040000;0.000000e+00;1.792261e-01;2.684462e-01
4;0.050000;0.000000e+00;3.713027e-01;2.251667e-01
5;0.060000;0.000000e+00;3.713027e-01;2.574751e-01
6;0.070000;0.000000e+00;3.855278e-01;2.516478e-01
7;0.080000;0.000000e+00;3.803442e-01;3.053536e-01
8;0.090000;0.000000e+00;5.812193e-01;2.581680e-01
9;0.100000;0.000000e+00;3.877681e-01;2.666628e-01
10;0.110000;0.000000e+00;3.810916e-01;1.611369e-01
11;0.120000;0.000000e+00;4.233964e-01;1.334779e-01
12;0.130000;0.000000e+00;6.379210e-01;1.193096e-01
13;0.140000;0.000000e+00;6.669994e-01;1.940850e-01
14;0.150000;1.156067e+02;6.771766e-01;3.727061e-01
15;0.160000;2.317934e+02;7.378209e-01;4.024672e-01
16;0.170000;3.489971e+02;8.083193e-01;3.084141e-01
17;0.180000;3.515364e+02;8.311920e-01;5.931888e-01
18;0.190000;3.539706e+02;8.178005e-01;1.073921e+00
19;0.200000;2.367668e+02;7.400943e-01;1.377759e+00
20;0.210000;1.186208e+02;4.638646e-01;9.964444e-01
21;0.220000;0.000000e+00;2.020871e-01;5.991011e-01
22;0.230000;0.000000e+00;1.444319e-01;3.718076e-01
23;0.240000;0.000000e+00;2.623093e-01;2.689295e-01
24;0.250000;0.000000e+00;4.371164e-01;1.257450e-01
25;0.260000;0.000000e+00;4.538852e-01;8.738886e-02
26;0.270000;0.000000e+00;5.048668e-01;2.831673e-01
27;0.280000;0.000000e+00;4.990537e-01;5.988876e-01
28;0.290000;0.000000e+00;5.033826e-01;9.763696e-01
29;0.300000;0.000000e+00;5.134807e-01;1.203732e+00
30;0.310000;1.054004e+02;5.854115e-01;1.059273e+00
31;0.320000;2.104771e+02;6.800584e-01;8.217712e-01
32;0.330000;3.122666e+02;7.697315e-01;4.508212e-01
33;0.340000;3.070574e+02;8.040624e-01;5.412382e-01
34;0.350000;3.001036e+02;8.140401e-01;9.044250e-01
35;0.360000;2.933109e+02;8.159005e-01;1.330415e+00
36;0.370000;2.853642e+02;8.127087e-01;1.608913e+00
37;0.380000;2.780772e+02;8.228013e-01;1.655897e+00
38;0.390000;2.724378e+02;8.353701e-01;1.578856e+00
39;0.400000;2.685566e+02;8.481777e-01;1.465524e+00
40;0.410000;2.655027e+02;8.534206e-01;9.785385e-01
41;0.420000;2.628566e+02;8.537434e-01;1.246301e+00
42;0.430000;2.603521e+02;8.545614e-01;1.187139e+00
43;0.440000;2.582175e+02;8.553821e-01;1.363134e+00
44;0.450000;2.575776e+02;8.581692e-01;1.462796e+00
45;0.460000;2.585724e+02;8.614409e-01;1.706367e+00
46;0.470000;2.599763e+02;8.630345e-01;1.869135e+00
47;0.480000;2.612182e+02;8.601366e-01;1.342977e+00
48;0.490000;2.615776e+02;8.413367e-01;9.468944e-01
49;0.500000;2.584018e+02;8.139335e-01;9.102985e-01
50;0.510000;2.550352e+02;7.781751e-01;7.462061e-01
51;0.520000;1.678222e+02;5.080138e-01;7.834007e-01
52;0.530000;8.394656e+01;4.510798e-01;6.114139e-01
53;0.540000;0.000000e+00;3.875292e-01;7.711989e-01
54;0.550000;0.000000e+00;5.926218e-01;7.174435e-01
55;0.560000;0.000000e+00;3.890550e-01;7.449304e-01
56;0.570000;0.000000e+00;4.015966e-01;5.409613e-01
57;0.580000;0.000000e+00;1.965040e-01;5.139676e-01
58;0.590000;0.000000e+00;1.965040e-01;3.503031e-01
59;0.600000;0.000000e+00;0.000000e+00;3.491850e-01
60;0.610000;0.000000e+00;0.000000e+00;2.498926e-01
61;0.620000;0.000000e+00;0.000000e+00;2.325618e-01
62;0.630000;0.000000e+00;0.000000e+00;2.599281e-01
63;0.640000;0.000000e+00;0.000000e+00;2.629389e-01
64;0.650000;0.000000e+00;0.000000e+00;2.074101e-01
65;0.650000;0.000000e+00;0.000000e+00;1.537896e-01
