ag,-1.264142,1.510780,0.750000,0.555587,0.124775,1.000000,-0.104224,0.126135
ag,-0.672001,1.131209,0.578947,0.674432,0.061061,1.000000,-0.122704,0.179978
non,-0.217409,0.564874,0.900000,0.724972,0.142128,1.000000,0.669501,0.785377
non,0.000000,0.000000,0.000000,0.771056,0.009517,1.000000,0.796419,0.790545
ag,-0.395481,0.770480,0.735294,0.358671,0.334781,1.000000,0.038417,0.491870
non,-0.400494,0.889883,0.740741,0.632331,0.044144,1.000000,0.233005,0.375370
contrast,0.000000,1.000000,0.600000,0.491952,0.108596,1.000000,0.050294,1.104503
ag,0.000000,0.000000,0.000000,-0.627933,0.021384,1.000000,0.133575,0.381861
non,0.014282,2.648639,0.734694,0.127192,0.022644,1.000000,-0.155242,0.869811
non,-0.000000,1.000000,0.611111,0.738995,0.033594,1.000000,0.379203,0.781650
non,0.116751,0.869780,1.000000,0.917749,0.073842,1.000000,0.602085,1.229930
non,-0.628359,0.879310,0.952381,0.670022,0.008935,1.000000,0.156671,0.322820
ag,-0.487310,0.989411,0.612903,0.038749,1.092401,1.000000,-0.058200,0.139338
ag,0.000000,0.000000,0.000000,-0.054115,0.265090,1.000000,-0.829136,0.036716
non,0.073546,0.587746,0.848485,0.431032,0.476786,1.000000,0.033928,0.413565
non,0.000000,0.000000,0.000000,0.522807,0.174425,1.000000,0.014795,0.413984
contrast,-1.303228,0.000000,0.058824,-0.150546,0.577392,1.000000,-0.492554,0.218164
contrast,0.000000,0.000000,0.000000,-0.654241,1.556353,1.000000,-0.118794,0.191943
contrast,0.251082,0.308606,1.000000,1.120454,0.042166,1.000000,1.123744,0.883120
non,0.000000,0.000000,0.000000,0.283266,0.002348,1.000000,-0.879116,0.000133
ag,-0.138661,0.989349,0.850000,0.580290,0.002319,1.000000,-0.122967,0.295770
contrast,0.179630,0.917361,0.523810,0.602865,0.062464,1.000000,-0.294424,0.228339
ag,-0.579823,0.427042,0.882353,0.659262,0.153668,1.000000,0.150414,0.261875
non,-0.408707,0.903107,0.545455,0.187431,0.585522,1.000000,0.113253,0.595658
non,-0.679523,1.311196,0.916667,0.452443,0.592547,1.000000,0.753334,1.088757
ag,-0.650302,0.630662,0.523810,0.029110,0.409319,1.000000,-0.153852,0.235047
ag,-1.515462,1.952471,0.600000,0.485785,0.133438,1.000000,0.574428,0.738433
ag,-0.421276,0.847379,0.645161,0.304087,0.720572,1.000000,0.083280,0.314506
non,0.207958,0.918005,0.909091,1.056235,0.047282,1.000000,1.087854,0.702509
ag,-0.000000,1.000000,0.333333,0.919035,0.104489,1.000000,0.699520,0.536461
contrast,0.708443,2.489112,0.527778,0.072374,0.057853,1.000000,0.425023,0.369192
non,-0.463654,0.624618,0.512195,0.148661,0.708479,1.000000,0.058055,0.530349
contrast,-0.171466,0.919661,0.517241,0.618074,0.065724,1.000000,0.180751,0.808004
contrast,-1.059343,0.720072,0.195122,0.044381,0.585736,1.000000,0.225722,0.412388
ag,0.000000,0.000000,0.000000,-1.148008,0.491792,1.000000,-0.699791,0.045062
ag,0.000000,0.000000,0.000000,0.364847,0.098214,1.000000,0.403621,0.455637
ag,-0.141799,0.804718,0.516129,0.550874,0.039575,1.000000,0.529689,0.982707
ag,-0.252218,0.566851,0.777778,0.491873,0.695334,1.000000,0.508486,0.665266
ag,-0.446563,1.120191,0.475000,0.055297,0.763966,1.000000,0.208206,0.710679
contrast,-1.002215,0.982671,0.545455,-0.702254,2.224139,1.000000,0.362785,1.222724
ag,0.135855,1.726661,0.179487,0.108017,0.741601,1.000000,0.527878,1.624232
ag,-0.000000,1.000000,0.884615,0.921977,0.092748,1.000000,0.555994,0.845943
ag,0.000000,0.000000,0.000000,0.746651,0.004529,1.000000,0.455852,0.742790
contrast,0.000000,0.000000,0.000000,0.278378,0.162252,1.000000,-0.139995,0.324824
non,-0.287430,0.668778,0.742857,0.436848,0.172503,1.000000,0.045101,0.557174
non,-0.388986,0.992190,0.212121,-0.398931,1.063445,1.000000,-0.102151,1.041335
ag,0.149233,3.383061,0.500000,0.530375,0.008237,1.000000,-0.240724,0.316950
ag,-0.488787,0.785576,0.547619,-0.006303,0.817937,1.000000,-0.085807,0.472530
contrast,-1.094719,1.422342,0.161290,-0.168206,0.756138,1.000000,0.126262,0.742558
contrast,-0.689280,0.690429,0.628571,-0.021587,0.887242,1.000000,0.313247,0.653678
contrast,-0.703116,1.252968,0.573770,-0.227545,1.170710,1.000000,-0.393321,0.273919
ag,0.016245,0.829359,0.884615,1.018859,0.094769,1.000000,0.379412,0.312260
ag,0.518081,1.395033,0.923077,0.602410,0.008813,1.000000,-0.147763,0.603879
ag,0.021262,1.028023,0.277778,0.611921,0.029221,1.000000,0.238753,1.159621
contrast,0.140088,1.104640,0.714286,0.677834,0.158396,1.000000,0.595521,0.703869
contrast,0.182712,1.010979,0.909091,0.929140,0.099283,1.000000,1.176411,0.860158
non,-0.370336,1.036812,0.652174,0.160993,0.770199,1.000000,0.095030,0.461492
contrast,-0.840532,0.734760,0.750000,0.869013,0.012391,1.000000,-0.130158,0.339573
ag,0.032125,0.796519,0.884615,0.803117,0.247638,1.000000,0.938692,0.600057
contrast,-0.380797,1.282121,0.605634,0.006801,0.882040,1.000000,-0.147545,0.596006
contrast,-1.953434,1.076587,0.500000,0.327340,0.206718,1.000000,1.019719,0.128754
non,0.611123,1.196235,0.424242,0.453284,0.045645,1.000000,0.030192,0.548055
contrast,-3.377242,0.000000,0.200000,0.549160,0.001519,1.000000,0.234750,0.008312
non,0.276338,0.813238,0.440000,0.689141,0.084577,1.000000,0.549641,0.947250
contrast,-0.379066,0.907409,0.425926,0.065970,0.698183,1.000000,0.186052,0.534387
contrast,-0.141244,0.902112,1.000000,0.807760,0.012306,1.000000,0.121128,0.173618
non,0.000000,0.000000,0.000000,0.452829,0.003554,1.000000,-0.236606,0.172034
non,-0.936765,1.060647,0.687500,0.547699,0.442901,1.000000,-0.173174,0.133191
non,0.048735,1.118708,0.235294,-0.032670,0.751566,1.000000,0.247916,1.150808
ag,-0.966003,0.943169,0.760000,0.450077,0.023779,1.000000,-0.309237,0.129797
ag,-0.188971,0.571644,0.681818,0.507955,0.161320,1.000000,-0.190632,0.205404
contrast,0.473843,0.490243,0.514286,0.357442,0.148533,1.000000,0.560245,0.935343
contrast,-0.628919,1.158356,0.574468,0.178807,0.341164,1.000000,-0.228233,0.574063
contrast,0.913364,1.452185,0.517241,0.407587,0.077664,1.000000,0.408733,1.342525
non,0.637544,1.578979,0.615385,0.380579,0.088437,1.000000,0.227503,0.554924
non,-0.396591,1.271276,0.441860,-0.166056,0.930037,1.000000,-0.110837,0.622167
ag,0.000000,1.000000,0.285714,0.917195,0.006561,1.000000,0.438976,0.591298
ag,0.000000,0.000000,0.000000,0.191350,0.053420,1.000000,0.207755,1.312707
